"Year","CITATION","SAMPLE NAME","UNIQUE_ID","LOCATION","ELEVATION (MIN.)","ELEVATION (MAX.)","SAMPLING TECHNIQUE","DRILLING DEPTH (MIN.)","DRILLING DEPTH (MAX.)","LAND/SEA (SAMPLING)","ROCK TYPE","ROCK NAME","ROCK TEXTURE","SAMPLE COMMENT","AGE (MIN.)","AGE (MAX.)","GEOLOGICAL AGE","GEOLOGICAL AGE PREFIX","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ALTERATION","ALTERATION TYPE","TYPE OF MATERIAL","MINERAL / COMPONENT","SPOT (MINERAL)","CRYSTAL","RIM/CORE (MINERAL GRAINS)","PRIMARY/SECONDARY","INCLUSION TYPE","MINERAL (INCLUSION)","RIM/CORE (INCLUSION)","HOSTMINERAL (INCLUSION)","LATITUDE (MIN.)","LONGITUDE (MIN.)","LATITUDE (MAX.)","LONGITUDE (MAX.)","METHOD","COMMENT","INSTITUTION","SIO2(WT%)","TIO2(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3T(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","LOI(WT%)",
"1997"," [6163] N.N. (1997)","samp. SP/90/293","","BASTAR CRATON_PROTEROZOIC / NORTHEASTERN BASTAR CRATON / SAKOLI MOBILE BELT / DHABETEKRI FORMATION","","","OUTCROP","","","SUBAERIAL","METAMORPHIC ROCK","SCHIST, TALC-TREMOLITE","","","","","PROTEROZOIC","MESO","","","","","","WHOLE ROCK","","","","","","","","","","21.1","80","21.1","80","XRF","","GEOLOGICAL SURVEY OF INDIA","42","1.04","9.08","0.52","14.38","6.82","20.94","0.23","0.16","0.02","0","0.1","",
"1997"," [6163] N.N. (1997)","samp. SP/90/294","","BASTAR CRATON_PROTEROZOIC / NORTHEASTERN BASTAR CRATON / SAKOLI MOBILE BELT / DHABETEKRI FORMATION","","","OUTCROP","","","SUBAERIAL","METAMORPHIC ROCK","SCHIST, TALC-TREMOLITE","","","","","PROTEROZOIC","MESO","","","","","","WHOLE ROCK","","","","","","","","","","21.1","80","21.1","80","XRF","","GEOLOGICAL SURVEY OF INDIA","42.7","1.39","9.99","0.38","15.3","6.99","20.01","0.26","0.12","0.03","0.11","0.15","",
"1997"," [6163] N.N. (1997)","samp. SP/90/293","","BASTAR CRATON_PROTEROZOIC / NORTHEASTERN BASTAR CRATON / SAKOLI MOBILE BELT / DHABETEKRI FORMATION","","","OUTCROP","","","SUBAERIAL","METAMORPHIC ROCK","SCHIST, TALC-TREMOLITE","","","","","PROTEROZOIC","MESO","","","","","","WHOLE ROCK","","","","","","","","","","21.1","80","21.1","80","IGN","","GEOLOGICAL SURVEY OF INDIA","","","","","","","","","","","","","5.74",
"1997"," [6163] N.N. (1997)","samp. SP/90/294","","BASTAR CRATON_PROTEROZOIC / NORTHEASTERN BASTAR CRATON / SAKOLI MOBILE BELT / DHABETEKRI FORMATION","","","OUTCROP","","","SUBAERIAL","METAMORPHIC ROCK","SCHIST, TALC-TREMOLITE","","","","","PROTEROZOIC","MESO","","","","","","WHOLE ROCK","","","","","","","","","","21.1","80","21.1","80","IGN","","GEOLOGICAL SURVEY OF INDIA","","","","","","","","","","","","","5.43",
"2016"," [20674] WANI H. (2016)","samp. M1","","CENTRAL INDIAN TECTONIC ZONE / MAHAKOSHAL SUPRACRUSTAL BELT / JUNGEL VALLEY / LOWER SALEEMANABAD FORMATION","","","OUTCROP","","","SUBAERIAL","METAMORPHIC ROCK","METABASALT","","","","2200000000","PROTEROZOIC","","","","","","","WHOLE ROCK","","","","","","","","","","23.8347","80.2514","23.8347","80.2514","XRF","PHILIPS MAGIXPRO PW2440","NATIONAL GEOPHYSICAL RESEARCH INSTITUTE (NGRI), COUNCIL OF SCIENTIFIC AND INDUSTRIAL RESEARCH","46.95","1.04","11.8","","14.86","13.5","7.69","0.2","","0.3","2.3","0.11","",
"2016"," [20674] WANI H. (2016)","samp. M2","","CENTRAL INDIAN TECTONIC ZONE / MAHAKOSHAL SUPRACRUSTAL BELT / JUNGEL VALLEY / LOWER SALEEMANABAD FORMATION","","","OUTCROP","","","SUBAERIAL","METAMORPHIC ROCK","METABASALT","","","","2200000000","PROTEROZOIC","","","","","","","WHOLE ROCK","","","","","","","","","","23.8347","80.2514","23.8347","80.2514","XRF","PHILIPS MAGIXPRO PW2440","NATIONAL GEOPHYSICAL RESEARCH INSTITUTE (NGRI), COUNCIL OF SCIENTIFIC AND INDUSTRIAL RESEARCH","47.2","0.93","11.6","","14.98","12.35","7.42","0.2","","0.38","2.5","0.11","",
"2016"," [20674] WANI H. (2016)","samp. M3","","CENTRAL INDIAN TECTONIC ZONE / MAHAKOSHAL SUPRACRUSTAL BELT / JUNGEL VALLEY / LOWER SALEEMANABAD FORMATION","","","OUTCROP","","","SUBAERIAL","METAMORPHIC ROCK","METABASALT","","","","2200000000","PROTEROZOIC","","","","","","","WHOLE ROCK","","","","","","","","","","23.8347","80.2514","23.8347","80.2514","XRF","PHILIPS MAGIXPRO PW2440","NATIONAL GEOPHYSICAL RESEARCH INSTITUTE (NGRI), COUNCIL OF SCIENTIFIC AND INDUSTRIAL RESEARCH","48.67","0.97","11.28","","15.8","11.15","7.5","0.24","","0.34","1.98","0.11","",
"2016"," [20674] WANI H. (2016)","samp. M-8","","CENTRAL INDIAN TECTONIC ZONE / MAHAKOSHAL SUPRACRUSTAL BELT / JUNGEL VALLEY / LOWER SALEEMANABAD FORMATION","","","OUTCROP","","","SUBAERIAL","METAMORPHIC ROCK","METABASALT","","","","2200000000","PROTEROZOIC","","","","","","","WHOLE ROCK","","","","","","","","","","23.8347","80.2514","23.8347","80.2514","XRF","PHILIPS MAGIXPRO PW2440","NATIONAL GEOPHYSICAL RESEARCH INSTITUTE (NGRI), COUNCIL OF SCIENTIFIC AND INDUSTRIAL RESEARCH","47.79","1.02","11.08","","14.69","12.6","7.42","0.2","","0.31","2.41","0.11","",
"2016"," [20674] WANI H. (2016)","samp. M-9","","CENTRAL INDIAN TECTONIC ZONE / MAHAKOSHAL SUPRACRUSTAL BELT / JUNGEL VALLEY / LOWER SALEEMANABAD FORMATION","","","OUTCROP","","","SUBAERIAL","METAMORPHIC ROCK","METABASALT","","","","2200000000","PROTEROZOIC","","","","","","","WHOLE ROCK","","","","","","","","","","23.8347","80.2514","23.8347","80.2514","XRF","PHILIPS MAGIXPRO PW2440","NATIONAL GEOPHYSICAL RESEARCH INSTITUTE (NGRI), COUNCIL OF SCIENTIFIC AND INDUSTRIAL RESEARCH","48.82","0.93","11.3","","15.14","11.2","7.63","0.19","","0.32","1.84","0.11","",
"2016"," [20674] WANI H. (2016)","samp. M10","","CENTRAL INDIAN TECTONIC ZONE / MAHAKOSHAL SUPRACRUSTAL BELT / JUNGEL VALLEY / LOWER SALEEMANABAD FORMATION","","","OUTCROP","","","SUBAERIAL","METAMORPHIC ROCK","METABASALT","","","","2200000000","PROTEROZOIC","","","","","","","WHOLE ROCK","","","","","","","","","","23.8347","80.2514","23.8347","80.2514","XRF","PHILIPS MAGIXPRO PW2440","NATIONAL GEOPHYSICAL RESEARCH INSTITUTE (NGRI), COUNCIL OF SCIENTIFIC AND INDUSTRIAL RESEARCH","53.88","1.43","15.24","","13.3","3.86","5.75","0.23","","4.16","0.42","0.11","",
